name,brand,description,price,image_url,product_page_url
Solo tassello,Unifix,"FX - Tassello universale in nylon - in nylon 6.6 con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 Indicato per cemento, cemento cellulare, pietra, mattoni pieni e forati",N/A,https://www.unishop.it/media/04/d7/bc/1742234729/0906-105-25_MAINPIC_high.webp,https://www.unishop.it/solo-tassello/3314e28c-cdec-4f42-a28c-6609baf554e8
in nylon 6.6,Unifix,"IPS - Tassello a vite per pannelli isolanti - in nylon 6.6 di alta qualità indicato per il fissaggio di canaline, profili, illuminazioni esterne a parete, cassette della posta, sistemi d’allarme
 
riduce al minimo il ponte termico
punta con doppio filetto per una ottimale penetrazione nell’intonaco
testa dotata di guarnizione per la chiusura del foro d’infissione
profondità maggiorata sulla testa per consentire l’infissione della vite
idoneo per fissaggio su pannelli isolanti, termoacustici e in fibra di legno
non necessita di preforo",N/A,https://www.unishop.it/media/2b/ae/ce/1742234753/0903-880-001_MAINPIC_high.webp,https://www.unishop.it/in-nylon-6.6/a266d3a6-3da5-4805-b904-569ca4c84367
Nastro e vite inox - W4,Unifix,"Fascetta stringitubo nastro 9 mm fascettate - DIN 3017 
vite a testa esagonale doppia possibilità di fissaggio
chiusura ottimale grazie al lucchetto molto corto
bordi rialzati evitano tagli nel tubo
nastro continuo pieno
W2 - acciaio inossidabile
W4 - Inox A2 (Aisi 304)",N/A,https://www.unishop.it/media/8a/bd/cc/1742234477/2539-210-16_MAINPIC_high.webp,https://www.unishop.it/nastro-e-vite-inox-w4/1cfbb65c-fd29-4529-ad07-b25c579579d0
Fascetta Serratub,Unifix,Fascetta Serratub - in acciaio zincato vite in 8.8 con testa esagonale a taglio cacciavitenastro forato alleggerito,N/A,https://www.unishop.it/media/4d/78/41/1742239688/0548-7-11_MAINPIC_high.webp,https://www.unishop.it/fascetta-serratub/16f3da3c-34a5-4865-978d-f0b2fa9f2ec3
Solo tassello,Unifix,"FX - Tassello universale in nylon - in nylon 6.6 con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 Indicato per cemento, cemento cellulare, pietra, mattoni pieni e forati",N/A,https://www.unishop.it/media/04/d7/bc/1742234729/0906-105-25_MAINPIC_high.webp,https://www.unishop.it/solo-tassello/3314e28c-cdec-4f42-a28c-6609baf554e8
in nylon 6.6,Unifix,"IPS - Tassello a vite per pannelli isolanti - in nylon 6.6 di alta qualità indicato per il fissaggio di canaline, profili, illuminazioni esterne a parete, cassette della posta, sistemi d’allarme
 
riduce al minimo il ponte termico
punta con doppio filetto per una ottimale penetrazione nell’intonaco
testa dotata di guarnizione per la chiusura del foro d’infissione
profondità maggiorata sulla testa per consentire l’infissione della vite
idoneo per fissaggio su pannelli isolanti, termoacustici e in fibra di legno
non necessita di preforo",N/A,https://www.unishop.it/media/2b/ae/ce/1742234753/0903-880-001_MAINPIC_high.webp,https://www.unishop.it/in-nylon-6.6/a266d3a6-3da5-4805-b904-569ca4c84367
Nastro e vite inox - W4,Unifix,"Fascetta stringitubo nastro 9 mm fascettate - DIN 3017 
vite a testa esagonale doppia possibilità di fissaggio
chiusura ottimale grazie al lucchetto molto corto
bordi rialzati evitano tagli nel tubo
nastro continuo pieno
W2 - acciaio inossidabile
W4 - Inox A2 (Aisi 304)",N/A,https://www.unishop.it/media/8a/bd/cc/1742234477/2539-210-16_MAINPIC_high.webp,https://www.unishop.it/nastro-e-vite-inox-w4/1cfbb65c-fd29-4529-ad07-b25c579579d0
Solo tassello,Unifix,"FXU - Tassello universale in nylon - con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 
indicato per cemento, pietra, mattoni pieni e forati, calcestruzzo aerato, pannelli truciolari e cartongesso ad esclusione del Ø10mm e Ø12mm",N/A,https://www.unishop.it/media/46/c9/9b/1742234415/0906-205-25_MAINPIC_high.webp,https://www.unishop.it/solo-tassello/1e1b19be-4cc4-4616-835b-f851b1cc6d06
Nastro e vite inox A2 - W4,Unifix,"Fascetta stringitubo nastro 9 mm - DIN 3017 
vite a testa esagonale doppia possibilità di fissaggio
chiusura ottimale grazie al lucchetto molto corto
bordi rialzati evitano tagli nel tubo
nastro continuo pieno
W2 - acciaio inossidabile
W4 - Inox A2 (Aisi 304)",N/A,https://www.unishop.it/media/10/d5/2f/1742234475/0539-210-16_MAINPIC_high.webp,https://www.unishop.it/nastro-e-vite-inox-a2-w4/6dccfb98-0bc0-4bc8-a74f-0cab0faffc87
Fascetta Serratub,Unifix,Fascetta Serratub - in acciaio zincato vite in 8.8 con testa esagonale a taglio cacciavitenastro forato alleggerito,N/A,https://www.unishop.it/media/4d/78/41/1742239688/0548-7-11_MAINPIC_high.webp,https://www.unishop.it/fascetta-serratub/16f3da3c-34a5-4865-978d-f0b2fa9f2ec3
Solo tassello,Unifix,"FX - Tassello universale in nylon - in nylon 6.6 con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 Indicato per cemento, cemento cellulare, pietra, mattoni pieni e forati",N/A,https://www.unishop.it/media/04/d7/bc/1742234729/0906-105-25_MAINPIC_high.webp,https://www.unishop.it/solo-tassello/3314e28c-cdec-4f42-a28c-6609baf554e8
in nylon 6.6,Unifix,"IPS - Tassello a vite per pannelli isolanti - in nylon 6.6 di alta qualità indicato per il fissaggio di canaline, profili, illuminazioni esterne a parete, cassette della posta, sistemi d’allarme
 
riduce al minimo il ponte termico
punta con doppio filetto per una ottimale penetrazione nell’intonaco
testa dotata di guarnizione per la chiusura del foro d’infissione
profondità maggiorata sulla testa per consentire l’infissione della vite
idoneo per fissaggio su pannelli isolanti, termoacustici e in fibra di legno
non necessita di preforo",N/A,https://www.unishop.it/media/2b/ae/ce/1742234753/0903-880-001_MAINPIC_high.webp,https://www.unishop.it/in-nylon-6.6/a266d3a6-3da5-4805-b904-569ca4c84367
Nastro e vite inox - W4,Unifix,"Fascetta stringitubo nastro 9 mm fascettate - DIN 3017 
vite a testa esagonale doppia possibilità di fissaggio
chiusura ottimale grazie al lucchetto molto corto
bordi rialzati evitano tagli nel tubo
nastro continuo pieno
W2 - acciaio inossidabile
W4 - Inox A2 (Aisi 304)",N/A,https://www.unishop.it/media/8a/bd/cc/1742234477/2539-210-16_MAINPIC_high.webp,https://www.unishop.it/nastro-e-vite-inox-w4/1cfbb65c-fd29-4529-ad07-b25c579579d0
Solo tassello,Unifix,"FXU - Tassello universale in nylon - con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 
indicato per cemento, pietra, mattoni pieni e forati, calcestruzzo aerato, pannelli truciolari e cartongesso ad esclusione del Ø10mm e Ø12mm",N/A,https://www.unishop.it/media/46/c9/9b/1742234415/0906-205-25_MAINPIC_high.webp,https://www.unishop.it/solo-tassello/1e1b19be-4cc4-4616-835b-f851b1cc6d06
Nastro e vite inox A2 - W4,Unifix,"Fascetta stringitubo nastro 9 mm - DIN 3017 
vite a testa esagonale doppia possibilità di fissaggio
chiusura ottimale grazie al lucchetto molto corto
bordi rialzati evitano tagli nel tubo
nastro continuo pieno
W2 - acciaio inossidabile
W4 - Inox A2 (Aisi 304)",N/A,https://www.unishop.it/media/10/d5/2f/1742234475/0539-210-16_MAINPIC_high.webp,https://www.unishop.it/nastro-e-vite-inox-a2-w4/6dccfb98-0bc0-4bc8-a74f-0cab0faffc87
Fascetta Serratub,Unifix,Fascetta Serratub - in acciaio zincato vite in 8.8 con testa esagonale a taglio cacciavitenastro forato alleggerito,N/A,https://www.unishop.it/media/4d/78/41/1742239688/0548-7-11_MAINPIC_high.webp,https://www.unishop.it/fascetta-serratub/16f3da3c-34a5-4865-978d-f0b2fa9f2ec3
Solo tassello,Unifix,"FX - Tassello universale in nylon - in nylon 6.6 con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 Indicato per cemento, cemento cellulare, pietra, mattoni pieni e forati",N/A,https://www.unishop.it/media/04/d7/bc/1742234729/0906-105-25_MAINPIC_high.webp,https://www.unishop.it/solo-tassello/3314e28c-cdec-4f42-a28c-6609baf554e8
in nylon 6.6,Unifix,"IPS - Tassello a vite per pannelli isolanti - in nylon 6.6 di alta qualità indicato per il fissaggio di canaline, profili, illuminazioni esterne a parete, cassette della posta, sistemi d’allarme
 
riduce al minimo il ponte termico
punta con doppio filetto per una ottimale penetrazione nell’intonaco
testa dotata di guarnizione per la chiusura del foro d’infissione
profondità maggiorata sulla testa per consentire l’infissione della vite
idoneo per fissaggio su pannelli isolanti, termoacustici e in fibra di legno
non necessita di preforo",N/A,https://www.unishop.it/media/2b/ae/ce/1742234753/0903-880-001_MAINPIC_high.webp,https://www.unishop.it/in-nylon-6.6/a266d3a6-3da5-4805-b904-569ca4c84367
Nastro e vite inox - W4,Unifix,"Fascetta stringitubo nastro 9 mm fascettate - DIN 3017 
vite a testa esagonale doppia possibilità di fissaggio
chiusura ottimale grazie al lucchetto molto corto
bordi rialzati evitano tagli nel tubo
nastro continuo pieno
W2 - acciaio inossidabile
W4 - Inox A2 (Aisi 304)",N/A,https://www.unishop.it/media/8a/bd/cc/1742234477/2539-210-16_MAINPIC_high.webp,https://www.unishop.it/nastro-e-vite-inox-w4/1cfbb65c-fd29-4529-ad07-b25c579579d0
Solo tassello,Unifix,"FXU - Tassello universale in nylon - con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 
indicato per cemento, pietra, mattoni pieni e forati, calcestruzzo aerato, pannelli truciolari e cartongesso ad esclusione del Ø10mm e Ø12mm",N/A,https://www.unishop.it/media/46/c9/9b/1742234415/0906-205-25_MAINPIC_high.webp,https://www.unishop.it/solo-tassello/1e1b19be-4cc4-4616-835b-f851b1cc6d06
Nastro e vite inox A2 - W4,Unifix,"Fascetta stringitubo nastro 9 mm - DIN 3017 
vite a testa esagonale doppia possibilità di fissaggio
chiusura ottimale grazie al lucchetto molto corto
bordi rialzati evitano tagli nel tubo
nastro continuo pieno
W2 - acciaio inossidabile
W4 - Inox A2 (Aisi 304)",N/A,https://www.unishop.it/media/10/d5/2f/1742234475/0539-210-16_MAINPIC_high.webp,https://www.unishop.it/nastro-e-vite-inox-a2-w4/6dccfb98-0bc0-4bc8-a74f-0cab0faffc87
Fascetta Serratub,Unifix,Fascetta Serratub - in acciaio zincato vite in 8.8 con testa esagonale a taglio cacciavitenastro forato alleggerito,N/A,https://www.unishop.it/media/4d/78/41/1742239688/0548-7-11_MAINPIC_high.webp,https://www.unishop.it/fascetta-serratub/16f3da3c-34a5-4865-978d-f0b2fa9f2ec3
Solo tassello,Unifix,"FX - Tassello universale in nylon - in nylon 6.6 con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 Indicato per cemento, cemento cellulare, pietra, mattoni pieni e forati",N/A,https://www.unishop.it/media/04/d7/bc/1742234729/0906-105-25_MAINPIC_high.webp,https://www.unishop.it/solo-tassello/3314e28c-cdec-4f42-a28c-6609baf554e8
in nylon 6.6,Unifix,"IPS - Tassello a vite per pannelli isolanti - in nylon 6.6 di alta qualità indicato per il fissaggio di canaline, profili, illuminazioni esterne a parete, cassette della posta, sistemi d’allarme
 
riduce al minimo il ponte termico
punta con doppio filetto per una ottimale penetrazione nell’intonaco
testa dotata di guarnizione per la chiusura del foro d’infissione
profondità maggiorata sulla testa per consentire l’infissione della vite
idoneo per fissaggio su pannelli isolanti, termoacustici e in fibra di legno
non necessita di preforo",N/A,https://www.unishop.it/media/2b/ae/ce/1742234753/0903-880-001_MAINPIC_high.webp,https://www.unishop.it/in-nylon-6.6/a266d3a6-3da5-4805-b904-569ca4c84367
Nastro e vite inox - W4,Unifix,"Fascetta stringitubo nastro 9 mm fascettate - DIN 3017 
vite a testa esagonale doppia possibilità di fissaggio
chiusura ottimale grazie al lucchetto molto corto
bordi rialzati evitano tagli nel tubo
nastro continuo pieno
W2 - acciaio inossidabile
W4 - Inox A2 (Aisi 304)",N/A,https://www.unishop.it/media/8a/bd/cc/1742234477/2539-210-16_MAINPIC_high.webp,https://www.unishop.it/nastro-e-vite-inox-w4/1cfbb65c-fd29-4529-ad07-b25c579579d0
Solo tassello,Unifix,"FXU - Tassello universale in nylon - con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 
indicato per cemento, pietra, mattoni pieni e forati, calcestruzzo aerato, pannelli truciolari e cartongesso ad esclusione del Ø10mm e Ø12mm",N/A,https://www.unishop.it/media/46/c9/9b/1742234415/0906-205-25_MAINPIC_high.webp,https://www.unishop.it/solo-tassello/1e1b19be-4cc4-4616-835b-f851b1cc6d06
Nastro e vite inox A2 - W4,Unifix,"Fascetta stringitubo nastro 9 mm - DIN 3017 
vite a testa esagonale doppia possibilità di fissaggio
chiusura ottimale grazie al lucchetto molto corto
bordi rialzati evitano tagli nel tubo
nastro continuo pieno
W2 - acciaio inossidabile
W4 - Inox A2 (Aisi 304)",N/A,https://www.unishop.it/media/10/d5/2f/1742234475/0539-210-16_MAINPIC_high.webp,https://www.unishop.it/nastro-e-vite-inox-a2-w4/6dccfb98-0bc0-4bc8-a74f-0cab0faffc87
Fascetta Serratub,Unifix,Fascetta Serratub - in acciaio zincato vite in 8.8 con testa esagonale a taglio cacciavitenastro forato alleggerito,N/A,https://www.unishop.it/media/4d/78/41/1742239688/0548-7-11_MAINPIC_high.webp,https://www.unishop.it/fascetta-serratub/16f3da3c-34a5-4865-978d-f0b2fa9f2ec3
Solo tassello,Unifix,"FX - Tassello universale in nylon - in nylon 6.6 con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 Indicato per cemento, cemento cellulare, pietra, mattoni pieni e forati",N/A,https://www.unishop.it/media/04/d7/bc/1742234729/0906-105-25_MAINPIC_high.webp,https://www.unishop.it/solo-tassello/3314e28c-cdec-4f42-a28c-6609baf554e8
Fascetta Serratub,Unifix,Fascetta Serratub - in acciaio zincato vite in 8.8 con testa esagonale a taglio cacciavitenastro forato alleggerito,N/A,https://www.unishop.it/media/4d/78/41/1742239688/0548-7-11_MAINPIC_high.webp,https://www.unishop.it/fascetta-serratub/16f3da3c-34a5-4865-978d-f0b2fa9f2ec3
Solo tassello,Unifix,"FX - Tassello universale in nylon - in nylon 6.6 con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 Indicato per cemento, cemento cellulare, pietra, mattoni pieni e forati",N/A,https://www.unishop.it/media/04/d7/bc/1742234729/0906-105-25_MAINPIC_high.webp,https://www.unishop.it/solo-tassello/3314e28c-cdec-4f42-a28c-6609baf554e8
in nylon 6.6,Unifix,"IPS - Tassello a vite per pannelli isolanti - in nylon 6.6 di alta qualità indicato per il fissaggio di canaline, profili, illuminazioni esterne a parete, cassette della posta, sistemi d’allarme
 
riduce al minimo il ponte termico
punta con doppio filetto per una ottimale penetrazione nell’intonaco
testa dotata di guarnizione per la chiusura del foro d’infissione
profondità maggiorata sulla testa per consentire l’infissione della vite
idoneo per fissaggio su pannelli isolanti, termoacustici e in fibra di legno
non necessita di preforo",N/A,https://www.unishop.it/media/2b/ae/ce/1742234753/0903-880-001_MAINPIC_high.webp,https://www.unishop.it/in-nylon-6.6/a266d3a6-3da5-4805-b904-569ca4c84367
Nastro e vite inox - W4,Unifix,"Fascetta stringitubo nastro 9 mm fascettate - DIN 3017 
vite a testa esagonale doppia possibilità di fissaggio
chiusura ottimale grazie al lucchetto molto corto
bordi rialzati evitano tagli nel tubo
nastro continuo pieno
W2 - acciaio inossidabile
W4 - Inox A2 (Aisi 304)",N/A,https://www.unishop.it/media/8a/bd/cc/1742234477/2539-210-16_MAINPIC_high.webp,https://www.unishop.it/nastro-e-vite-inox-w4/1cfbb65c-fd29-4529-ad07-b25c579579d0
Collare svasato con vite TPS…,Unifix,"RPT/RPF - Tassello in nylon prolungato - in nylon 6.6 ad espansione idoneo per il montaggio di sottostrutture di facciata ventilate, profili per tetti ringhiere, inferiate e parti aggiuntive in legno e metallo per tutti i substrati comuni. Il lungo campo di espansione assicurano una tenuta ottimale. Il tassello si espande nei materiali da costruzione solidi e forma un nodo nei materiali da costruzione cavi. L’approvazione ETA garantisce un ancoraggio sicuro in molti materiali da costruzione. 
certificata ETA-10/0392 (escluso Ø8)
fissaggio passante
profondità di ancoraggio di 70 mm in tutti i materiali e con tutte le lunghezze
indicato per cemento, cemento cellulare, pietra naturale, blocchi cavi in calcestruzzo leggero e precompresso, mattoni pieni e forati",N/A,https://www.unishop.it/media/5d/6f/1b/1742238676/0907-808-080_MAINPIC_high.webp,https://www.unishop.it/collare-svasato-con-vite-tps-tx/5b55581b-b394-4edd-89f1-60cc5ca10c7f
Solo tassello,Unifix,"FXU - Tassello universale in nylon - con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 
indicato per cemento, pietra, mattoni pieni e forati, calcestruzzo aerato, pannelli truciolari e cartongesso ad esclusione del Ø10mm e Ø12mm",N/A,https://www.unishop.it/media/46/c9/9b/1742234415/0906-205-25_MAINPIC_high.webp,https://www.unishop.it/solo-tassello/1e1b19be-4cc4-4616-835b-f851b1cc6d06
Fascetta Serratub,Unifix,Fascetta Serratub - in acciaio zincato vite in 8.8 con testa esagonale a taglio cacciavitenastro forato alleggerito,N/A,https://www.unishop.it/media/4d/78/41/1742239688/0548-7-11_MAINPIC_high.webp,https://www.unishop.it/fascetta-serratub/16f3da3c-34a5-4865-978d-f0b2fa9f2ec3
Solo tassello,Unifix,"FX - Tassello universale in nylon - in nylon 6.6 con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 Indicato per cemento, cemento cellulare, pietra, mattoni pieni e forati",N/A,https://www.unishop.it/media/04/d7/bc/1742234729/0906-105-25_MAINPIC_high.webp,https://www.unishop.it/solo-tassello/3314e28c-cdec-4f42-a28c-6609baf554e8
in nylon 6.6,Unifix,"IPS - Tassello a vite per pannelli isolanti - in nylon 6.6 di alta qualità indicato per il fissaggio di canaline, profili, illuminazioni esterne a parete, cassette della posta, sistemi d’allarme
 
riduce al minimo il ponte termico
punta con doppio filetto per una ottimale penetrazione nell’intonaco
testa dotata di guarnizione per la chiusura del foro d’infissione
profondità maggiorata sulla testa per consentire l’infissione della vite
idoneo per fissaggio su pannelli isolanti, termoacustici e in fibra di legno
non necessita di preforo",N/A,https://www.unishop.it/media/2b/ae/ce/1742234753/0903-880-001_MAINPIC_high.webp,https://www.unishop.it/in-nylon-6.6/a266d3a6-3da5-4805-b904-569ca4c84367
Nastro e vite inox - W4,Unifix,"Fascetta stringitubo nastro 9 mm fascettate - DIN 3017 
vite a testa esagonale doppia possibilità di fissaggio
chiusura ottimale grazie al lucchetto molto corto
bordi rialzati evitano tagli nel tubo
nastro continuo pieno
W2 - acciaio inossidabile
W4 - Inox A2 (Aisi 304)",N/A,https://www.unishop.it/media/8a/bd/cc/1742234477/2539-210-16_MAINPIC_high.webp,https://www.unishop.it/nastro-e-vite-inox-w4/1cfbb65c-fd29-4529-ad07-b25c579579d0
Collare svasato con vite TPS…,Unifix,"RPT/RPF - Tassello in nylon prolungato - in nylon 6.6 ad espansione idoneo per il montaggio di sottostrutture di facciata ventilate, profili per tetti ringhiere, inferiate e parti aggiuntive in legno e metallo per tutti i substrati comuni. Il lungo campo di espansione assicurano una tenuta ottimale. Il tassello si espande nei materiali da costruzione solidi e forma un nodo nei materiali da costruzione cavi. L’approvazione ETA garantisce un ancoraggio sicuro in molti materiali da costruzione. 
certificata ETA-10/0392 (escluso Ø8)
fissaggio passante
profondità di ancoraggio di 70 mm in tutti i materiali e con tutte le lunghezze
indicato per cemento, cemento cellulare, pietra naturale, blocchi cavi in calcestruzzo leggero e precompresso, mattoni pieni e forati",N/A,https://www.unishop.it/media/5d/6f/1b/1742238676/0907-808-080_MAINPIC_high.webp,https://www.unishop.it/collare-svasato-con-vite-tps-tx/5b55581b-b394-4edd-89f1-60cc5ca10c7f
Solo tassello,Unifix,"FXU - Tassello universale in nylon - con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 
indicato per cemento, pietra, mattoni pieni e forati, calcestruzzo aerato, pannelli truciolari e cartongesso ad esclusione del Ø10mm e Ø12mm",N/A,https://www.unishop.it/media/46/c9/9b/1742234415/0906-205-25_MAINPIC_high.webp,https://www.unishop.it/solo-tassello/1e1b19be-4cc4-4616-835b-f851b1cc6d06
Fascetta Serratub,Unifix,Fascetta Serratub - in acciaio zincato vite in 8.8 con testa esagonale a taglio cacciavitenastro forato alleggerito,N/A,https://www.unishop.it/media/4d/78/41/1742239688/0548-7-11_MAINPIC_high.webp,https://www.unishop.it/fascetta-serratub/16f3da3c-34a5-4865-978d-f0b2fa9f2ec3
Solo tassello,Unifix,"FX - Tassello universale in nylon - in nylon 6.6 con bordino idoneo per ogni tipo di fissaggio leggero mediante espansione radiale nel pieno e annodamento nel vuoto
 Indicato per cemento, cemento cellulare, pietra, mattoni pieni e forati",N/A,https://www.unishop.it/media/04/d7/bc/1742234729/0906-105-25_MAINPIC_high.webp,https://www.unishop.it/solo-tassello/3314e28c-cdec-4f42-a28c-6609baf554e8
