marca,nome,descrizione,image url,product url
DÖRKEN ITALIA,DELTA-MULTI-BAND® FLEXX,"DELTA-MULTI-BAND®FLEXXè una banda adesiva universale altamente resistente all'invecchiamento  ed elevatissima capacità collante, per applicazioni esterne e interne.
Vantaggi
ApplicazioneDELTA-MULTI-BAND®FLEXX è adatto per applicazioni interne ed esterne e viene utilizzato per l'incollaggio e la riparazione di tutte le membrane DELTA®nonché per il collegamento a tutti i substrati comparabili e a quelli in plastica dura, metallo, materiali a base di legno, nonché legno liscio e cemento. Particolarmente indicato per l'incollaggio su superfici in tessuto non tessuto.
60 mm / 100* mm (*con carta di protezione removibile)
25 m",https://img.edilportale.com/product-thumbs/b_DORKEN-ITALIA_DELTA-MULTI-BAND-FLEXX_99sDBkUVV6.jpeg,https://www.edilportale.com/prodotti/dorken-italia/banda-adesiva-per-giunzione/delta-multi-band-flexx_716023.html
DÖRKEN ITALIA,DELTA®-WOODIXX,"DELTA®-WOODIXXè una membrana per la protezione delle costruzioni in legno. La protezione dall'umidità senza compromessi per i componenti in legno durante la fase di costruzione. La pianificazione e le successive modifiche che dipendono  dalle condizioni meteorologiche appartengono al passato. La membrana completamente autoadesiva è la perfetta combinazione di permeabilità, trasparenza e facilità di posa. Veloce e facile da lavorare.
Vantaggi
Applicazione
Protezione temporanea dagli agenti atmosferici per pareti e solai prefabbricati in legno lamellare incrociato (CLT) e strutture a telaio in legno durante le fasi di trasporto, stoccaggio, montaggio e costruzione; in particolare per gli elementi del soffitto con finitura di pregio sul lato inferiore.
DELTA®-WOODIXX può essere posato direttamente in cantiere o in prefabbricazione prima del trasporto. La membrana può essere incollata a sbalzo (25 cm) per sovrapporre gli elementi in fase di montaggio. La larghezza ridotta (25 cm) della fodera divisa rimane sulla membrana fino all'ulteriore lavorazione. È possibile anche un incollaggio finale a filo. I giunti degli elementi vengono quindi collegati con una striscia tagliata di DELTA®-WOODIXX.
Dati Tecnici
Materiale: Combinazione multistrato autoadesiva con uno strato funzionale traspirante e una griglia di rinforzo integrata. Fodera divisa sul retro: 125/25 cmClasse di reazione al fuoco: Classe E (controllata su piano in legno), EN 13501-1Massa aerica: 210 g/m² senza fodera, 265 g/m² con foderaResistenza a trazione (Long./Trasv.): ca. 270/180 N/5 cm, EN 12311-1Allungamento a rottura (Long./Trasv.): ca. 35/25 %, EN 12311-1Resistenza allo strappo da chiodo (Long./Trasv.): ca. 160/250 N, EN 12310Impermeabilità all' acqua prima e dopo invecchiamento artificiale (336h UV): Classe W1, EN 13859-1+2Valore Sd: ca. 0,18 m, EN ISO 12572Rettilineità / stabilità dimensionale: < 0,5 %, EN 1107-2Conformità CE: EN 13859-1+2 / UNI11470 (Classe A)Stabilità Termica: da -40 °C a +80 °CEsposizione massima alle intemperie: 6 settimane
30 m × 1,50 m
13,95 kg",https://img.edilportale.com/product-thumbs/b_DORKEN-ITALIA_DELTA-WOODIXX_LHjQiN2cop.jpeg,https://www.edilportale.com/prodotti/dorken-italia/membrana-autoadesiva-per-la-protezione-delle-costruzioni-in-legno/delta-woodixx_666112.html
DÖRKEN ITALIA,DELTA-DAWI GP,"DELTA®-DAWI GPè una barriera all'aria e al vapore economica e funzionale realizzata in polietilene speciale con valore Sd di ca. 100 metri. In combinazione con gli accessori del sistema, DELTA®-DAWI GP può essere lavorato in modo sicuro per mantenere la tenuta all' aria anche nelle zone con tutte le sovrapposizioni e collegamenti.
Materiale: Pellicola funzionalmente affidabile realizzata in polietilene speciale.Classe di reazione al fuoco: Classe E, EN 13501-1Valore Sd: ca. 100 mTemperatura d' esercizio: da -40 °C a +80 °CPeso: ca. 180 g/m²Peso rotolo: ca. 18 kg
50m x 1,50m",https://img.edilportale.com/product-thumbs/b_DORKEN-ITALIA_DELTA-DAWI-GP_x3A8Y4z1Jg.jpeg,https://www.edilportale.com/prodotti/dorken-italia/barriera-al-vapore-in-polietilene-speciale/delta-dawi-gp_663344.html
DÖRKEN ITALIA,DELTA-XX PLUS® LIGHT,"DELTA-XX PLUS® LIGHTè una membrana altamente traspirante e a lunga durabilità, per la protezione di facciate ventilate con rivestimenti a giunti chiusi. Con doppia banda adesiva integrata la membrana dal prezzo più ragionevole, è adatta anche a budget modesti ed è comunque capace di durare nel tempo.Vantaggi- Durabilità SorprendenteDELTA-XX PLUS® LIGHT rimane funzionale anche dopo anni di utilizzo, in quanto si caratterizza per la sua grande durabilità. Una caratteristica attestata anche da un corrispondente ETA. Ciò significa che offre un'affidabilità duratura e una facciata protetta in modo affidabile.- Con 30 anni di garanzia- Bande autoadesive integrateLe strisce autoadesive integrate assicurano che le sovrapposizioni possano essere incollate direttamente. Impediscono inoltre la penetrazione di umidità e aria fredda nell'isolamento, garantendo così la migliore protezione.- Previene l'abbagliamentoLa superficie opaca di DELTA-XX PLUS® LIGHT riduce i fastidiosi riflessi. Ciò rende il lavoro notevolmente più piacevole.- Estremamente flessibileDELTA-XX PLUS® LIGHT colpisce per la buona malleabilità, il che significa che la membrana può essere applicata comodamente anche per dettagli difficili. Il materiale flessibile garantisce una maggiore sicurezza in caso di contatto involontario con il puntale (scala) e gli attrezzi.ApplicazionePer la protezione dell'isolamento termico in facciate ventilate con rivestimenti a giunti chiusi. Adatto per la prevenzione della condensa interstiziale e come impermeabilizzazione secondaria sotto i rivestimenti delle facciate. Soddisfa i requisiti della Normativa UNI 11470  (Classe D).",https://img.edilportale.com/product-thumbs/b_DELTA-XX-PLUS-LIGHT-D%c3%96RKEN-ITALIA-623239-rel27f4035c.jpg,https://www.edilportale.com/prodotti/dorken-italia/membrana-per-facciate-a-giunti-chiusi-e-pareti/delta-xx-plus-light_623239.html
DÖRKEN ITALIA,DELTA-XX PLUS® UNIVERSAL,"DELTA-XX PLUS® UNIVERSALè una membrana universale altamente traspirante e a lunga durabilità per la protezione dell' isolamento dei tetti a falda o inclinati.La sua versatilità consente l'applicazione  di questa esclusiva membrana traspirante impermeabili e protettiva – sia per tetti inclinati completamente isolati con e senza tavolato che per strutture di tetto ventilato. La soluzione universale per quasi tutti i tipi di tetti.Vantaggi- Durabilità dimostrata: DELTA-XX PLUS® UNIVERSAL colpisce per la comprovata durabilità, garantendo una protezione duratura. L'estrema qualità e i test a lungo termine, nonché le procedure di prova speciali confermano la sua elevata resistenza. L'estrema durabilità è attestata da un corrispondente test ETA.- Garanzia di 30 anni.- La banda autoadesiva integrata consente l'incollaggio diretto della sovrapposizione e impedisce in modo affidabile la penetrazione di aria fredda e umidità nell'isolamento. Ciò consente una maggiore efficienza energetica e comfort abitativo.- Elevata elasticità significa che il nostro DELTA-XX PLUS® UNIVERSAL offre una maggiore protezione in caso di contatto involontario con il puntale (scala) e gli attrezzi. La sua  malleabilità consente inoltre un'applicazione semplice e comoda, anche per i dettagli più difficili.- DELTA-XX PLUS® UNIVERSAL è la soluzione perfetta per una gamma di applicazioni diverse.ApplicazionePer la protezione dell'isolamento termico in coperture inclinate. Soddisfa i requisiti della Normativa UNI 11470 per coperture con pendenza ≥ 30% (Classe B). Adatto per la prevenzione della condensa interstiziale sotto manti di copertura in tegole (cotto o cemento), metallo, pietra o scandole. Applicabile anche in facciate ventilate con rivestimenti a giunti chiusi.",https://img.edilportale.com/product-thumbs/b_DELTA-XX-PLUS-UNIVERSAL-D%c3%96RKEN-ITALIA-623241-relcc2cdb5f.jpg,https://www.edilportale.com/prodotti/dorken-italia/membrana-universale-per-tetti-inclinati/delta-xx-plus-universal_623241.html
DÖRKEN ITALIA,DELTA-XX PLUS® STRONG,"DELTA-XX PLUS® STRONGè una membrana altamente traspirante e a lunga durabilità con doppie bande adesive integrate, per la protezione di tetti a falda.  Inoltre possiede un' armatura di rinforzo di questa membrana ne garantisce l'elevata resistenza allo strappo. Può resistere alle condizioni meteorologiche più difficili.Vantaggi- Longevità dimostrataDELTA-XX PLUS® STRONG offre una comprovata durabilità. Una caratteristica che la nostra membrana ha dimostrato nelle condizioni più difficili e in una serie di procedure di prova. L'ETA corrispondente testimonia anche le elevate prestazioni e la resistenza.- Funzionamento garantito per 30 anni- Strisce adesive integrateParticolarmente pratiche sono le zone adesive integrate su entrambi i bordi, che consentono un incollaggio rapido e affidabile delle sovrapposizioni. Allo stesso tempo, evitano anche l' ingresso di aria fredda e umidità. Ciò garantisce maggiore efficienza, comfort e risparmio sui costi.- Particolarmente resistente allo strappoLa struttura a quattro strati della membrana comprende una combinazione di fogli di tessuto spunbonded con una robusta armatura di rinforzo integrata. Ciò significa che DELTA-XX PLUS® STRONG è particolarmente robusto e resistente agli strappi. Un vantaggio che rende l'installazione della membrana notevolmente più sicura e offre anche una protezione a lungo termine per il tetto.ApplicazionePer la protezione dell'isolamento termico in coperture inclinate. Soddisfa i requisiti della Normativa UNI 11470 per coperture con pendenza ≥ 30% (Classe B). Adatto per la prevenzione della condensa interstiziale sotto manti di copertura in tegole (cotto o cemento), metallo, pietra o scandole. Applicabile anche in facciate ventilate con rivestimenti a giunti chiusi.",https://img.edilportale.com/product-thumbs/b_DELTA-XX-PLUS-STRONG-D%c3%96RKEN-ITALIA-623243-relec77c4da.jpg,https://www.edilportale.com/prodotti/dorken-italia/membrana-con-rete-di-rinforzo-resistente-allo-strappo/delta-xx-plus-strong_623243.html
DÖRKEN ITALIA,DELTA-XX PLUS® HEAVY,"DELTA-XX PLUS® HEAVYè una membrana altamente traspirante ad alta grammatura e a lunga durabilità, per la protezione dell' isolamento dei tetti a falda anche a bassa pendenza, con doppie bande adesive integrate.La membrana per tetti estremamente resistente è perfettamente adattata per l'uso su tetti con casseforme. Naturalmente è adatto anche per l'impiego su tetti completamente coibentati senza cassaforma.Vantaggi- Funzionalità a lungo termine: Con il nostro DELTA-XX PLUS® HEAVY l'attenzione è rivolta alla durabilità. La membrana di copertura mantiene le prestazioni nel corso degli anni e protegge in modo affidabile. Ciò è confermato dall'estrema qualità e dai test a lungo termine e dal corrispondente ETA. Con DELTA-XX PLUS® HEAVY i tetti hanno una protezione affidabile.- Garanzia di 30 anni.- La banda di bordatura autoadesiva integrata incolla in modo rapido e sicuro le sovrapposizioni delle membrane per tetti. Ciò significa che né l'aria fredda né l'umidità possono entrare nell'isolamento, aumentando l'efficienza.- Lo strato funzionale permeabile tra i tessuti in fibra filata garantisce un'altissima traspirabilità. L'umidità accumulata e la condensa nella struttura possono quindi asciugarsi di nuovo rapidamente. La traspirabilità è molto superiore a quella delle membrane per tetti a base di bitume e di molti tipi di teli in plastica.- I tessuti pesanti e spessi di DELTA-XX PLUS® HEAVY proteggono in modo ottimale il film funzionale della membrana del tetto su superfici ruvide. Questo significa che già in fase di posa si ha la certezza che la membrana offrirà al tetto una protezione davvero duraturaApplicazionePer la protezione dell'isolamento termico in coperture inclinate. Soddisfa i requisiti della Normativa UNI 11470 anche per le coperture a bassa pendenza (Classe A). Adatto per la prevenzione della condensa interstiziale sotto manti di copertura in tegole (cotto o cemento), metallo, pietra o scandole. Applicabile anche in facciate ventilate con rivestimenti a giunti chiusi.",https://img.edilportale.com/product-thumbs/b_DELTA-XX-PLUS-HEAVY-D%c3%96RKEN-ITALIA-623244-rel183228c.jpg,https://www.edilportale.com/prodotti/dorken-italia/membrana-ad-alta-grammatura-anche-per-tetti-a-bassa-pendenza/delta-xx-plus-heavy_623244.html
DÖRKEN ITALIA,DELTA® - FOL PVE,"Il classico schermo al vapore. Pratico e robusto. Impermeabile all'acqua e all'aria, stabilizzato ai raggi UV, con armatura altamente resistente allo strappo, non microperforato e facile da posare.",https://img.edilportale.com/product-thumbs/b_prodotti-63928-relb65f4b1b0b574147bd5a00f9bc9a9ebb.jpg,https://www.edilportale.com/prodotti/dorken-italia/schermo-freno-vapore/delta-fol-pve_63928.html
DÖRKEN ITALIA,DELTA® - REFLEX,"DELTA®-REFLEXè una barriera al vapore e al vento a risparmio energetico e resistente agli strappi , ideale per tutti i tetti.   Materiale a 4 strati,composto da superficie in alluminio tra due Strati di protezione e rete di rinforzoCAMPI DI IMPIEGOCome barriera vapore da posare sotto l'isolamento. Ideale per la posa su supporti continui in legno. In tetti ventilati sopra il tavolato esterno come strato impermeabile riflettente il calore.Dati tecniciComportamento al fuoco: E secondo EN 13501-1Resistenza alla trazione:long.  450 N/5 cmtrasv. 400 N/5cm (EN 12311-1)Valore Sd: ca. 150 mResistenza alla temperatura: da - 40 °C a + 80 °CPeso : ca. 180g/m²Peso rotolo : approx. 13.5kgLunghezza rotolo ,: 25m / 30 mLarghezza rotolo : 3m / 1.50 mAccessorio consigliato: DELTA®-POLYBAND",https://img.edilportale.com/product-thumbs/b_prodotti-2690-reldf6ebb63269b40038cd8158086734352.jpg,https://www.edilportale.com/prodotti/dorken-italia/barriera-al-vapore/delta-reflex_2690.html
DÖRKEN ITALIA,DELTA® - PVG PLUS,"Telo sottotetto impermeabile e traspirante. Ideale per la posa su tavolato in legno. Ideale come freno al vapore acqueo sotto isolamento. Alta resistenza allo strappo grazie all'elevata grammatura. Nellaversione DELTA® -PVG PLUScon banda autoadesiva integrata per l'incollaggio delle sovrapposizioni consente una posa rapida e resistente al vento.CAMPI DI IMPIEGOIn tetti ventilati e non ventilati sotto l'isolamento termico con funzione di freno al vapore. In tetti ventilati come strato impermeabile all'acqua da posare sopra il tavolato esterno.MaterialeTelo a triplo strato combinazione di tessuto non tessuto PP con membrana traspirante e impermeabile.CaratteristicheProtezione ottimale per tutti i tetti inclinati contro la neve, la polvere e la pioggia. Impermeabile all'acqua ma permeabile al vapore. Riduce il flusso di vapore acqueo generato all'interno dell'abitazione ed evita la formazione di condensa nell'isolamento. Nella versione DELTA®-PVG PLUS con banda autoadesiva integrata per l'incollaggio e la tenuta ermetica delle sovrapposizioni.Dati tecniciComportamento al fuoco: E secondo EN 13501-1  EResistenza alla trazione:long. ca.. 380 N/5 cmtrasv. ca. 240 N/5 cmImpermeabilità: Impermeabile W1 secondo EN 13859-1Valore Sd: ca. 20 mResistenza alla temperatura: da -40 °C a +80 °CPeso : ca. 150 g/m²Peso rotolo : ca. 12 kgLunghezza del rotolo: 50 mLarghezza del rotolo: 1.5 m
50m x 1,50m",https://img.edilportale.com/product-thumbs/b_prodotti-2689-rel07dc44f438b948979f058142e487bf1b.jpg,https://www.edilportale.com/prodotti/dorken-italia/barriera-al-vapore/delta-pvg-plus_2689.html
DÖRKEN ITALIA,DELTA ®-MAXX PLUS,"DELTA ®-MAXX PLUSè una membrana impermeabile traspirante a risparmio energetico con banda adesiva integrata con elevata resistenza alla trazione e allo strappo. Per l'evacuazione immediata del vapore acqueo , la tenuta ermetica al vento e come protezione impermeabile sopra l'isolamento termico in coperture inclinate anche con pendenza < 30%. Con banda adesiva integrata per la sigillatura delle sovrapposizioni.Materiale: Strato in poliestere (PET) altamente resistente con speciale rivestimento esterno in poliuretano (PU) impermeabile e traspirante.DATI TECNICI:Valore Sd: 0,15 mSpessore : ca. 0,4 mmResistenza alla trazione: 450/300  N/5 cmPeso Specifico: 200 g/m2Peso rotolo: 14,5 kg",https://img.edilportale.com/product-thumbs/b_delta-maxx-plus-dorken-italia-378489-reld006bb4e.jpg,https://www.edilportale.com/prodotti/dorken-italia/membrana-impermeabile-traspirante/delta-maxx-plus_378489.html
DÖRKEN ITALIA,DELTA®-FOXX PLUS,"DELTA®-FOXXè l'Extra Plus traspirante per tetti anche senzacamera di ventilazione e anche a bassa pendenza.DELTA®-FOXXè un telo sottotetto impermeabile aperto alla diffusionedel vapore d’acqueo in tessuto non tessuto di poliestere con strato impermeabile altamente traspirante per posa su superfici rigide. Alta sicurezzad'impiego grazie alla grande robustezza. Grande resistenza nei confronti deiraggi UV.Il fissaggio avviene con chiodi a testa piana larga o graffette per sparapunti; i fissaggi sono poi schermati tra le sovrapposizioni.Nellaversione PLUS, con banda autoadesiva integrata per l'incollaggio delle sovrapposizioni, consente una posa rapida e resistente al vento.CAMPI DI IMPIEGOIn tetti inclinati ventilati e non ventilati come impermeabilizzazione apertaalla diffusione del vapore acqueo da posare sotto le tegole. Può essereposato su un supporto in legno o direttamente sull'isolamento termico stabileanche in tetti a bassa pendenza.",https://img.edilportale.com/product-thumbs/b_prodotti-2686-rel7a68afab45ee4a8e9983ced139ca21e8.jpg,https://www.edilportale.com/prodotti/dorken-italia/telo-traspirante-e-protettivo/delta-foxx-plus_2686.html
DÖRKEN ITALIA,DELTA ®-FOL PVL,"DELTA ®-FOL PVLè uno schermo freno vapore. Per la regolazione del flusso di vapore acqueo attraverso gli Strati esterni della copertura con funzione anti-condensa e come protezione impermeabile sotto l'isolamento termico in coperture inclinate .Materiale: Combinazione di 2 Strati costituiti da un tessuto non tessuto in polipropilene (PP) associato ad uno strato impermeabile.DATI TECNICI:Valore Sd: 3  mSpessore: ca. 0,3 mmResistenza alla trazione: 165/125 N/5 cmPeso Specifico: 145  g/m2Peso rotolo : 10,5 kg",https://img.edilportale.com/product-thumbs/b_delta-fol-pvl-dorken-italia-378482-relc1a002a.jpg,https://www.edilportale.com/prodotti/dorken-italia/schermo-freno-vapore-impermeabile/delta-fol-pvl_378482.html
DÖRKEN ITALIA,DELTA ®-FOL PVB,"DELTA ®-FOL PVBè uno schermo freno vapore a bassa diffusività ed alta grammatura. Per la regolazione del flusso di vapore acqueo attraverso gli starti esterni della copertura con funzione anti-condensa e come protezione impermeabile sotto l'isolamento termico in coperture inclinate anche < 30%Materiale: Combinazione di un geotessile e una rete di rinforzo in polipropilene (PP) con uno strato di rivestimento impermeabile nero.DATI TECNICI:Valore Sd: 78 mSpessore: ca. 0,3 mmResistenza alla trazione: 360/320 N/5cmPeso Specifico: 200 g/m2Peso rotolo : 15kg",https://img.edilportale.com/product-thumbs/b_delta-fol-pvb-dorken-italia-378483-rel7882862.jpg,https://www.edilportale.com/prodotti/dorken-italia/schermo-freno-vapore-impermeabile/delta-fol-pvb_378483.html
DÖRKEN ITALIA,DELTA® - TRELA PLUS,"DELTA®-TRELAè uno strato separatore drenante per la microventilazione dei tetti inclinati, ventilati e non ventilati, con copertura in metallo. E' consigliato dai maggiori produttori di tetti in metallo.Nellaversione DELTA®-TRELA PLUScon banda autoadesiva integrata per un rapido fissaggio delle sovrapposizioni. Abbattimento acustico certificato pari a 8 dB.I teliDELTA®-TRELA PLUSgarantiscono una protezione interna sicura dal ristagno di umidità e dalla corrosione per tetti e facciate in metallo. I teli DELTA®-TRELA PLUS sono utilizzabili su tetti e facciate realizzati in materiali metallico come zinco-titanio, alluminio, acciaio, rame, ecc.CAMPI DI IMPIEGOPuò essere inserito in tutti i tetti inclinati con coperture e facciate in metalloDati tecniciResistenza alla trazione: ca. 270/220  N/5 cmComportamento al fuoco: E secondo  EN 13501-1Altezza della struttura bugnata: ca. 8 mmValore Sd: ca. 0.02 mAltezza utile: ca. 1.4mPeso : ca.  380g/m²Peso del rotolo : ca. 17kgDimensioni del rotolo : 30 m x 1,5 m
30m x 1,50m",https://img.edilportale.com/product-thumbs/b_prodotti-2691-rel02c5e8b84405459d918ade590d30f459.jpg,https://www.edilportale.com/prodotti/dorken-italia/telo-sottotetto-traspirante/delta-trela-plus_2691.html
DÖRKEN ITALIA,DELTA®-NB,"DELTA®-NBè una membrana alveolare adatta come sottofondo di massetti in cls , protezione muri di fondazione e strato drenante per opere interrate a doppia parete . Marcatura CE secondo la normativa EN 13252.Materiale: Polietilene ad alta densità (HDPE) stabilizzato, nero.Caratteristiche e Dati tecnici:-non inquinante l'acqua potabile , resistente alle sostanze chimiche , agenti batteriologici, alcalini, anti-radice e completamente riciclabile-Altezza rilievi: 8 mm-Volume d'aria tra i rilievi. ca. 5,3 l/m3-Stabilità termica : da -30°C a +80°C-Peso Specifico : ca. 400 g/m2-Peso rotolo : in base alle dimensioni. (vedi sotto)",https://img.edilportale.com/product-thumbs/b_DELTA-NB-D%c3%96RKEN-ITALIA-378499-rel912f948a.jpg,https://www.edilportale.com/prodotti/dorken-italia/membrana-alveolare-e-drenante/delta-nb_378499.html
DÖRKEN ITALIA,DELTA® - MS,"DELTA®-MS500è una membrana bugnata di protezione dei muri di fondazione e di opere di ingegneria civile. Sottofondo di pavimentazione, barriera all'umidità ascendente e al gas radon. Microventilazione della muratura. Marcatura CE secondo la normativa EN 13967CAMPI DI IMPIEGOProtegge il rivestimento impermeabile dei muri di fondazione. Viene utilizzato con i rilievi rivolti verso la parete e assicura il convogliamento anche di ingenti quantita' d'acqua verso il tubo di drenaggio. Può essere utilizzato come sottofondo di massetti in calcestruzzo sostituendo lo strato di bonifica. Notevole risparmio di costi e di tempo.MaterialeMembrana alveolare in polietilene ad alta densità (HDPE) speciale ad alta resistenza. Non dannoso per l'acqua potabile, non si decompone nel terreno.CaratteristicheGrazie agli alveoli rivolte verso il muro, DELTA®-MS 500 garantisce un isolamento sicuro della muratura di fondazione dal terreno umido. I rilievi tronco-conici formano dei canali di aerazione tramite i quali il muro può respirare. Al momento del riempimento la membrana alveolare agisce come protezione dell'impermeabilizzazione. Lo strato di tenuta risulta protetto. DELTA®-MS 500 è caratterizzato da una forte resistenza alla compressione, pari a ca. 200 kN ed ha oltre 1800 bugne al metro quadrato. La membrana permette di ripartire le pressioni sul supporto evitando i carichi concentrati.Messa in operaDELTA®-MS 500 può essere fissato meccanicamente con tasselli, chiodi o dispositivi di fissaggio come squadrette in legno. Tempo di posa: meno di 4 min/m². Grazie al bordo di sovrapposizione piatto la connessione con il supporto risulta sempre precisa. La struttura alveolare diagonale permette di piegare e di seguire perfettamente gli angoli.Particolari costruttiviPer l'applicazione si consiglia l'utilizzo di:•DELTA®-MS CLIP:Clip per il fissaggio facile e sicuro delle membrane alveolari.•DELTA®- TASSELLO MS: Tassello in HDPE per il fissaggio su supporti chiodabili•DELTA®-CHIODI AUTOADESIVI: Chiodo autoadesivo per il fissaggio delle sovrapposizioni•DELTA®-PROFILO MS: Profilo di finitura per il lato superiore•DELTA®-BOTTONI PER IL FISSAGGIO: Evita il possibile distacco della membrana su superfici chiodabiliDati tecniciAltezza delle bugne: ca. 8mmResistenza alla compressione: ca 250kN/m²Volume d'aria tra i rilievi: approx. 5.3 l/m²Resistenza alla temperatura: da -30°C a +80°C",https://img.edilportale.com/product-thumbs/b_prodotti-2695-rel97fc466b35c641b59be76d5bca5e45fc.jpg,https://www.edilportale.com/prodotti/dorken-italia/membrana-alveolare-e-bugnata/delta-ms_2695.html
DÖRKEN ITALIA,DELTA® - RADONSTOP LIGHT,"Guaina a base di poliolefine, posata sotto il massetto di fondazione,DELTA®-RADONSTOP LIGHTforma una barriera sicura contro il gas radon.  Assicura protezione nel tempo contro l'umidità ascendente delle murature.
25m x 4,00m",https://img.edilportale.com/product-thumbs/b_prodotti-63977-rela2b69689eded48e3abc5b7d1cde6a625.jpg,https://www.edilportale.com/prodotti/dorken-italia/guaina-per-fondazione-e-muro-controterra/delta-radonstop-light_63977.html
DÖRKEN ITALIA,DELTA® - TERRAXX,"DELTA®-TERRAXXè un sistema compatto ad alta capacità di drenaggio e protezione per opere interrate orizzontali e verticali, soggette a un carico elevato di compressione ai sensi delle normeDIN 18195eDIN 4095. Composto da 2 strati: tessuto non tessuto filtrante termosaldato su membrana alveolare.Marcatura CErispondente alla Direttiva EuropeaEN13252. Posa fino a 10 m di profondità.Per la posatura è consigliabile utilizzareDELTA®-PROFILO TERRAXX: elemento lineare di finitura dell'estremità superiore ed inferiore.CAMPI DI IMPIEGONell'utilizzo in verticale viene impiegato come sistema di protezione e drenaggio dei muri interrati contro impermeabilizzazioni o isolamenti perimetrali stabili o nella realizzazione di muri di contenimento. In orizzontale viene usato come sistema protezione e drenaggio su solai e giardini pensili. Il geotessuto termosaldato è rivolto sempre verso il terreno. Possibile applicazione per il drenaggio in estradosso di tunnel costruiti a cielo aperto. Agisce in modo efficace anche come sistema di drenaggio per gas metano e radon.MaterialeMembrana alveolare in HDPE speciale ad alta resistenza con geotessuto in PP termosaldato. Non inquina l'acqua potabile, non si decompone nel terreno.Dati tecniciAltezza dei rilievi: ca. 9mmResistenza alla compressione: ca. 400kN/m²Volume d'aria tra i rilievi: ca. 7.9 l/m²Resistenza alle temperature: da-30°C a +80°CGeocomposito per utilizzo in impianti di drenaggio: D + FResistenza alla strappo (EN 10319)MD 6kN/mCMD 6kN/mPermeabilità: (EN 918) ca 30 mmCaratteristica ampiezza di apertura: (EN ISO 12956) 170 µmPermeabilità all'acqua(EN ISO 11058) 85 mm/s(EN ISO 12958) 3.1 · 10-³ m²/s at 20kN/m²",https://img.edilportale.com/product-thumbs/b_prodotti-2693-reld8af33f60f954fdcbcbcf23eb2053530.jpg,https://www.edilportale.com/prodotti/dorken-italia/sistema-di-drenaggio-e-protezione-controterra/delta-terraxx_2693.html
DÖRKEN ITALIA,DELTA® - NP DRAIN,"DELTA®-NP DRAINè una membrana alveolare di protezione e drenaggio a 2 strati, con tessuto non tessuto filtrante termosaldato. Applicazione contro opere interrate verticali e orizzontali.Marcatura CErispondente alla Direttiva EuropeaEN13252. Posa fino a 7 m. di profonditàCAMPI DI IMPIEGONell'utilizzo in verticale viene impiegato come sistema di protezione e drenaggio per costruzioni sotterranee, pareti interrate, tunnel e garage sotterranei. In orizzontale può essere impiegato per la realizzazione di giardini pensili.Peso: ca. 560g/m²",https://img.edilportale.com/product-thumbs/b_prodotti-2694-relc5b16a8f24b64782835ef970c7bed3f5.jpg,https://www.edilportale.com/prodotti/dorken-italia/membrana-alveolare-e-bugnata/delta-np-drain_2694.html
